"","여성적인","부드러운","사랑스러운","은은한","매력적인","밝은","화려한","우아한","젊은","가벼운","자연적인","맑은","상쾌한","순수한","성숙한","달콤한","편안한","귀여운","깔끔한","신선한","수수한","서양적인","따뜻한","소박한","차분한","고급스러운","현대적인","무거운","인공적인","기운찬","동적인","도시적인","전원적인","기타","중후한","정적인","관능적인","시원한","남성적인","차가운","개성적인","점잖은","동양적인","거친","전통적인","어두운"
"citrus aromatic",0.0191693290734824,0.00958466453674121,0.00958466453674121,0.0255591054313099,0.0255591054313099,0.0511182108626198,0.012779552715655,0,0.0415335463258786,0.0415335463258786,0.0383386581469649,0.0319488817891374,0.0798722044728434,0.0159744408945687,0.012779552715655,0.00319488817891374,0.0191693290734824,0.012779552715655,0.0543130990415335,0.0447284345047923,0.00958466453674121,0,0.012779552715655,0.0159744408945687,0.0287539936102236,0.0159744408945687,0.0159744408945687,0.0287539936102236,0.00958466453674121,0.0287539936102236,0.00958466453674121,0.0351437699680511,0.0159744408945687,0.00638977635782748,0.0287539936102236,0.00958466453674121,0.00638977635782748,0.0415335463258786,0.0287539936102236,0.0255591054313099,0.0191693290734824,0.0159744408945687,0.012779552715655,0.00638977635782748,0.012779552715655,0.00958466453674121
"citrus gourmand",0.0251798561151079,0.0287769784172662,0.0143884892086331,0.0215827338129496,0.0431654676258993,0.0611510791366906,0.0215827338129496,0.00719424460431655,0.0539568345323741,0.0359712230215827,0.0215827338129496,0.0251798561151079,0.0683453237410072,0.0107913669064748,0.0143884892086331,0.0539568345323741,0.0251798561151079,0.0287769784172662,0.039568345323741,0.039568345323741,0.0107913669064748,0,0.0107913669064748,0.00359712230215827,0.00719424460431655,0.0107913669064748,0.0251798561151079,0.039568345323741,0.0179856115107914,0.0251798561151079,0.0179856115107914,0.0287769784172662,0.00359712230215827,0.00359712230215827,0.0107913669064748,0.00719424460431655,0.0179856115107914,0.0323741007194245,0.00719424460431655,0.0143884892086331,0.0323741007194245,0.00719424460431655,0,0.00719424460431655,0.00719424460431655,0.0107913669064748
"floral",0.0785340314136126,0.06282722513089,0.06282722513089,0.0575916230366492,0.0575916230366492,0.0523560209424084,0.0523560209424084,0.0523560209424084,0.0418848167539267,0.0366492146596859,0.0366492146596859,0.031413612565445,0.031413612565445,0.031413612565445,0.031413612565445,0.031413612565445,0.0261780104712042,0.0261780104712042,0.0209424083769634,0.0209424083769634,0.0209424083769634,0.0157068062827225,0.0157068062827225,0.0104712041884817,0.0104712041884817,0.0104712041884817,0.0104712041884817,0.0104712041884817,0.0104712041884817,0.00523560209424084,0.00523560209424084,0.00523560209424084,0.00523560209424084,0.00523560209424084,0.00523560209424084,0.00523560209424084,0.00523560209424084,0,0,0,0,0,0,0,0,0
"floral aldehyde",0.0450704225352113,0.047887323943662,0.0422535211267606,0.0422535211267606,0.0422535211267606,0.0450704225352113,0.0366197183098592,0.0422535211267606,0.0338028169014084,0.0507042253521127,0.0197183098591549,0.0450704225352113,0.047887323943662,0.028169014084507,0.0197183098591549,0.0253521126760563,0.0225352112676056,0.0225352112676056,0.028169014084507,0.0169014084507042,0.028169014084507,0.0140845070422535,0.0140845070422535,0.0169014084507042,0.0169014084507042,0.0197183098591549,0.0197183098591549,0.0169014084507042,0.0394366197183099,0.00845070422535211,0.00563380281690141,0.028169014084507,0.0028169014084507,0.0028169014084507,0.00563380281690141,0.0028169014084507,0.0140845070422535,0.0140845070422535,0.0028169014084507,0.0112676056338028,0.00845070422535211,0,0,0,0.0028169014084507,0
"floral aquatic",0.0401069518716578,0.0427807486631016,0.0347593582887701,0.0481283422459893,0.0401069518716578,0.0588235294117647,0.0267379679144385,0.0267379679144385,0.0481283422459893,0.0641711229946524,0.0320855614973262,0.0561497326203209,0.0508021390374332,0.0320855614973262,0.018716577540107,0.018716577540107,0.0267379679144385,0.0133689839572193,0.0427807486631016,0.0347593582887701,0.018716577540107,0.0160427807486631,0.0106951871657754,0.0133689839572193,0.0106951871657754,0.0106951871657754,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.0213903743315508,0.0213903743315508,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.00267379679144385,0.00267379679144385,0.00267379679144385,0.0320855614973262,0.0106951871657754,0.0106951871657754,0.00802139037433155,0.00267379679144385,0.00267379679144385,0.00267379679144385,0,0
"floral fruity",0.0625,0.0434782608695652,0.0679347826086956,0.0434782608695652,0.046195652173913,0.0570652173913043,0.0407608695652174,0.0271739130434783,0.0543478260869565,0.0489130434782609,0.0298913043478261,0.0380434782608696,0.0380434782608696,0.046195652173913,0.016304347826087,0.0597826086956522,0.0190217391304348,0.0516304347826087,0.016304347826087,0.0380434782608696,0.016304347826087,0.0108695652173913,0.0190217391304348,0.0135869565217391,0.00815217391304348,0.00815217391304348,0.00815217391304348,0.0108695652173913,0.0108695652173913,0.0108695652173913,0.0108695652173913,0.00543478260869565,0.00543478260869565,0.00271739130434783,0.00271739130434783,0.00271739130434783,0.00271739130434783,0.00271739130434783,0,0,0.00271739130434783,0,0,0,0,0
"floral fruity gourmand",0.0508578431372549,0.0471813725490196,0.0551470588235294,0.0386029411764706,0.0490196078431373,0.0508578431372549,0.0386029411764706,0.0245098039215686,0.0490196078431373,0.0367647058823529,0.0263480392156863,0.0287990196078431,0.0306372549019608,0.0367647058823529,0.0202205882352941,0.0735294117647059,0.022671568627451,0.0471813725490196,0.014093137254902,0.0324754901960784,0.0165441176470588,0.00796568627450981,0.0202205882352941,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.0306372549019608,0.0183823529411765,0.00796568627450981,0.0122549019607843,0.00612745098039216,0.00428921568627451,0.00183823529411765,0.00796568627450981,0.00612745098039216,0.0104166666666667,0.00183823529411765,0.00183823529411765,0,0.014093137254902,0.00428921568627451,0,0.00183823529411765,0.00428921568627451,0.00612745098039216
"floral green",0.0437158469945355,0.0437158469945355,0.0355191256830601,0.0437158469945355,0.0300546448087432,0.0382513661202186,0.0273224043715847,0.0327868852459016,0.0355191256830601,0.0491803278688525,0.0573770491803279,0.046448087431694,0.0628415300546448,0.0355191256830601,0.0245901639344262,0.0163934426229508,0.0245901639344262,0.0136612021857923,0.0300546448087432,0.0437158469945355,0.0300546448087432,0.00819672131147541,0.0136612021857923,0.0273224043715847,0.0245901639344262,0.00546448087431694,0.00546448087431694,0.00546448087431694,0.00819672131147541,0.0109289617486339,0.00546448087431694,0.00273224043715847,0.0245901639344262,0.00273224043715847,0.00546448087431694,0.0109289617486339,0.00273224043715847,0.0218579234972678,0,0.00273224043715847,0.00819672131147541,0.00819672131147541,0.00546448087431694,0.00546448087431694,0.0163934426229508,0.00273224043715847
"floral woody musk",0.0339805825242718,0.0548543689320388,0.029126213592233,0.0402912621359223,0.0402912621359223,0.0228155339805825,0.0242718446601942,0.0354368932038835,0.0194174757281553,0.0679611650485437,0.0276699029126214,0.0242718446601942,0.0194174757281553,0.0145631067961165,0.0339805825242718,0.0194174757281553,0.037378640776699,0.0160194174757282,0.0228155339805825,0.0131067961165049,0.0131067961165049,0.0111650485436893,0.0228155339805825,0.0131067961165049,0.0388349514563107,0.0228155339805825,0.00970873786407767,0.0354368932038835,0.00970873786407767,0.00485436893203883,0.00339805825242718,0.0145631067961165,0.0111650485436893,0.00485436893203883,0.020873786407767,0.0257281553398058,0.020873786407767,0.00485436893203883,0.0228155339805825,0.00485436893203883,0.00485436893203883,0.0305825242718447,0.0111650485436893,0.00825242718446602,0.0242718446601942,0.00825242718446602
"leather",0,0.0227272727272727,0,0.0113636363636364,0.0227272727272727,0,0.0227272727272727,0.00568181818181818,0,0,0.0113636363636364,0,0,0,0.0454545454545455,0.0113636363636364,0,0,0.0170454545454545,0,0,0.0170454545454545,0.0170454545454545,0,0.0340909090909091,0.0625,0.0397727272727273,0.113636363636364,0.0340909090909091,0.0227272727272727,0,0.0568181818181818,0,0,0.0625,0.0397727272727273,0.0227272727272727,0,0.0795454545454545,0.0227272727272727,0.0284090909090909,0.0284090909090909,0.0113636363636364,0.0852272727272727,0.0113636363636364,0.0397727272727273
